cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
40,3,32903.04137278417,0.0,22633.29275796163,0.488090980227631,2.0,2.0,46371.05309220454,0.47358902227829147,0.3226192553547234,0.6228812939837987,4.093989360388162,8.18189173139823,0.8334415318580273,0.09141983578873131,4069,1219,46.0,45.625952322437946,0,0,67825.47186260641,364.09606833761836,469.5096900555142,313.00646003700973,0,0.0,0.011384509793784576,0.0,22545.7343424786,0.0,0.0,0.0,87.55841548302877
41,3,33213.960271659176,0.0,22609.71656222737,0.4819388750585495,2.0,2.0,46914.07506705197,0.47013820247654636,0.3207979035337791,0.6190031207734911,4.216290836357966,8.262509613446259,0.8334415318580273,0.09141983578873131,4069,1219,46.0,45.625952322437946,0,0,67825.47186260641,344.0960683376184,466.3783483124402,310.9188988749602,0,0.0,0.010909231557604291,0.0,22522.249352843413,0.0,0.0,0.0,87.46720938395671
42,3,33509.67721427738,0.0,22586.16492487316,0.47624620097376014,2.0,2.0,47425.39652535222,0.4665106601664044,0.3190183316107042,0.6152865446650703,4.302200151912149,8.337901997133335,0.8334415318580273,0.09141983578873131,4069,1219,46.0,45.625952322437946,0,0,67825.47186260641,344.09606833761836,443.5754139272265,295.7169426181509,0,0.0,0.010271457574245189,0.0,22498.788826582528,0.0,0.0,0.0,87.37609829062981
43,3,33845.24104202454,0.0,22562.63782031751,0.4704416619139317,2.0,2.0,47960.54356351924,0.4621545551840778,0.3167884805668247,0.6109317754792171,4.372024128682851,8.423634524221448,0.8334415318580273,0.09141983578873131,4069,1219,46.0,45.625952322437946,0,0,67825.47186260641,354.0960683376184,503.3457416208492,335.56382774723266,0,0.0,0.010146171569637473,0.0,22475.352738213427,0.0,0.0,0.0,87.2850821040844
44,3,34134.86656143147,0.0,22564.553449261286,0.46570247108471713,2.0,2.0,48452.72432569187,0.45869377763572516,0.31518413784003896,0.6072717214853957,4.422298853877587,8.497107734881354,0.8334900954516908,0.09139301646907007,4069,1219,46.0,45.617104939788646,1,1,67825.47186260641,344.09606833761836,472.60537563178536,315.0702504211903,0,0.0,0.010287366711502608,0.0,22451.941062280137,0.0,0.0,0.0,112.6123869811484
45,3,34431.75356632307,0.0,22545.548928473403,0.4607406758165076,2.0,2.0,48933.272254547555,0.45528700242415043,0.3134286735210162,0.6036878482769601,4.474632416422287,8.572232616842163,0.8334845114554987,0.09139566452836939,4069,1220,46.0,45.605799950847874,1,1,67829.42396785873,324.09606833761836,452.08765392361903,301.3917692824124,0,0.0,0.00993750797997432,0.0,22428.5537733532,0.0,0.0,0.0,116.99515512020372
46,3,34754.4847367946,0.0,22522.064131976567,0.4557012057774728,2.0,2.0,49422.875881031796,0.45209491336337226,0.31182480198113177,0.6001185022591194,4.527459088353973,8.654252337559676,0.8334845114554987,0.09139566452836939,4069,1220,46.0,45.605799950847874,0,0,67828.96954224863,374.0960683376184,484.0967557073592,322.7311704715731,0,0.0,0.00928189126400464,0.0,22405.190846029647,0.0,0.0,0.0,116.8732859469212
47,3,35079.904852383355,0.0,22498.603798652854,0.45025358774635477,2.0,2.0,49968.73853080141,0.44822053212894875,0.30967102655000517,0.5960187978047784,4.590224154251086,8.737914080592239,0.8334845114554987,0.09139566452836939,4069,1220,46.0,45.605799950847874,0,0,67828.96954224863,354.09606833761836,488.13017338318735,325.4201155887916,0,0.0,0.010550189418319287,0.0,22381.852254932972,0.0,0.0,0.0,116.75154371988172
48,4,35374.393644506534,0.0,22475.16790301995,0.44525061765559654,2.0,2.0,50477.56704159049,0.4450540748892513,0.30789581877437394,0.5923874186243985,4.678577243659645,8.81597578159465,0.8334845114554987,0.09139566452836939,4069,1220,47.0,46.605799950847874,0,0,67828.96954224863,314.0960683376184,441.7331881847982,294.48879212319883,0,0.0,0.009908573485294255,0.0,22358.537974713097,0.0,0.0,0.0,116.62992830685046
49,4,35683.07063642407,0.0,22451.756419622085,0.44054482403908146,2.0,2.0,50963.61413073906,0.441738396811745,0.30616963384285545,0.5889318169205048,4.8063805266536965,8.894588657469829,0.8334845114554987,0.09139566452836939,4069,1220,47.0,46.605799950847874,0,0,67828.96954224863,304.09606833761836,463.0154878762217,308.676991917481,0,0.0,0.008743717509748651,0.0,22335.247980046355,0.0,0.0,0.0,116.50843957573034
